,Principal Component 1,Principal Component 2,AL Values,idx,Labels,Status
59,-0.30266017,0.22584721,0.4335845,66,1,Pool
60,0.38081968,0.08704427,0.6563957,81,0,Pool
61,0.72252345,-0.47790653,0.73351884,9,0,Pool
62,-0.114841215,-0.108281955,0.5378933,83,2,Pool
63,0.7574055,0.4440537,0.7972071,28,0,Pool
64,-0.35343498,0.10414396,0.42443895,74,1,Pool
65,0.62442565,-0.24241592,0.72029305,12,0,Pool
66,-0.253893,-0.030486984,0.4587659,35,2,Pool
67,-0.02650653,-0.083504364,0.5662893,40,2,Pool
68,0.6799104,0.27469063,0.57335013,13,0,Pool
69,-0.21802783,-0.06811098,0.47756812,51,2,Pool
70,-0.22801265,-0.22109434,0.4892575,6,2,Pool
71,0.71952355,-0.251857,0.813199,87,0,Pool
72,0.7673428,0.9461594,0.91088426,30,1,Pool
73,0.48339188,0.34152707,0.5785538,61,0,Pool
74,0.5180131,0.35049316,0.58810145,23,0,Pool
75,-0.28556475,0.3384731,0.41766277,29,0,Pool
76,-0.10534122,-0.066185854,0.5230844,63,2,Pool
77,-0.25992396,-0.0012425825,0.45325306,53,1,Pool
78,0.0735607,0.05395527,0.51328576,44,1,Pool
79,-0.017580038,0.0945714,0.5353699,24,2,Pool
80,-0.24820495,-0.08233271,0.45312673,14,1,Pool
81,0.20920698,-0.103627026,0.5415376,90,0,Pool
82,-0.324661,-0.08005333,0.43579766,19,2,Pool
83,-0.41107124,0.11308619,0.39419442,73,0,Pool
84,-0.32156476,0.036916222,0.4302701,33,0,Pool
85,0.15741052,-0.120908454,0.5634906,46,0,Pool
86,-0.26712808,-0.0016453468,0.45620936,16,2,Pool
87,0.46864602,0.29799595,0.5686416,71,0,Train
88,-0.1324144,-0.21881835,0.5490376,1,2,Train
89,0.666813,-0.3953863,0.7080276,42,0,Train
90,0.669314,-0.49684948,0.7244331,37,0,Train
91,-0.1675036,-0.0030993791,0.49256358,54,1,Train
92,-0.22806525,-0.1014595,0.46436238,93,1,Train
93,-0.26757848,0.27515194,0.43064943,91,1,Train
94,-0.3091787,0.08690977,0.43576413,17,2,Train
95,-0.20872562,-0.08305427,0.48501977,15,2,Train
