,Principal Component 1,Principal Component 2,AL Values,idx,Labels,Status
60,-0.1018002,-0.31761044,0.52945143,50,1,Pool
61,-0.17527899,0.46109152,0.59543544,61,0,Pool
62,-0.05226122,-0.30819646,0.5359719,22,1,Pool
63,-0.14541425,-0.2782771,0.52766234,77,1,Pool
64,-0.015585558,-0.12113505,0.4943913,5,2,Pool
65,0.01917647,-0.34600225,0.52512664,45,1,Pool
66,-0.04527909,-0.28907177,0.5280573,2,1,Pool
67,0.1692032,-0.089646585,0.49228388,83,2,Pool
68,-0.20250137,0.3735354,0.5325478,69,0,Pool
69,-0.40721896,0.18828997,0.35483196,81,0,Pool
70,-0.13644011,-0.20965801,0.5291534,8,2,Pool
71,0.022372521,-0.4300556,0.5054827,19,2,Pool
72,-0.233522,0.031869717,0.5249257,58,2,Pool
73,-0.14069389,-0.33500117,0.520818,62,1,Pool
74,1.5676808,-0.00864043,0.55280775,25,1,Pool
75,-0.5047032,0.14324519,0.43045938,44,1,Pool
76,-0.2635019,0.45960772,0.5599864,38,0,Pool
77,-0.2446018,0.1362417,0.60034704,6,2,Pool
78,-0.19766708,-0.2915262,0.54411435,53,1,Pool
79,-0.27784976,0.44027796,0.42270994,52,0,Pool
80,-0.14977303,0.13237175,0.5790688,24,2,Pool
81,-0.31086203,-0.06538633,0.59025836,70,2,Pool
82,-0.029509427,-0.20734099,0.49962452,66,1,Pool
83,-0.08894734,-0.16683693,0.5145919,48,2,Pool
84,-0.24302948,0.42190355,0.5711297,42,0,Train
85,-0.20401736,-0.28207782,0.5280437,17,2,Train
86,-0.39932188,0.16142547,0.5807058,1,2,Train
87,0.4658577,-0.28228042,0.5413196,49,1,Train
88,0.04577233,-0.2311513,0.51318854,91,1,Train
89,-0.08596648,-0.32437515,0.5107614,93,1,Train
90,-0.15900342,-0.26763994,0.52560353,54,1,Train
91,-0.5426117,0.056947846,0.3991057,59,0,Train
92,-0.2515364,0.46084368,0.5463137,37,0,Train
93,0.8074271,-0.6433017,0.43250015,7,0,Train
94,-0.061456192,-0.0022764434,0.56335187,15,2,Train
95,-0.13353759,0.45636672,0.60542476,71,0,Train
